широта;долгота;скорость;ускорение по Z;ускорение по X;ускорение по Y;Угол наклона
43.125592;131.893997;81.9;0.01;-0.03;0.21;1.4
43.125793;131.894051;82.6;-0.01;0.17;-0.0;-0.4
43.125995;131.894106;80.8;0.02;-0.48;0.01;0.3
43.126193;131.89416;81.1;-0.02;0.07;0.01;-0.4
43.126392;131.894214;81.7;-0.0;0.19;-0.01;0.1
43.126592;131.894269;82.3;-0.01;0.16;-0.02;0.8
43.126794;131.894323;81.2;0.06;-0.31;-0.01;0.6
43.126993;131.894377;82.2;-0.01;0.28;0.19;0.6
43.127194;131.894432;83.0;0.06;0.2;0.4;1.7
43.127396;131.894495;79.9;0.02;-0.84;0.22;2.3
43.127591;131.894558;81.3;0.05;0.38;0.01;1.4
43.127788;131.894622;82.1;0.03;0.22;-0.0;1.1
43.127988;131.894686;82.9;-0.02;0.23;0.01;0.5
43.12819;131.894751;81.1;0.03;-0.51;0.0;0.2
43.128387;131.894815;82.1;0.04;0.27;-0.0;-0.2
43.128586;131.894879;81.7;-0.01;-0.09;-0.0;-0.3
43.128785;131.894943;82.6;0.06;0.25;0.02;-0.1
43.128986;131.895008;81.3;0.04;-0.36;0.2;2.2
43.129183;131.895073;79.5;0.02;-0.51;0.33;2.4
43.129375;131.895143;81.0;0.02;0.42;0.16;0.5
43.12957;131.895215;81.2;0.07;0.05;0.01;0.7
43.129766;131.895288;81.7;0.04;0.16;-0.0;0.1
43.129963;131.895361;82.6;0.0;0.24;0.0;-0.3
43.130162;131.895434;80.6;0.04;-0.56;0.01;-2.6
43.130357;131.895506;78.9;0.03;-0.46;0.0;-0.7
43.130547;131.895577;79.0;0.02;0.01;-0.0;-0.3
43.130737;131.895647;80.0;0.07;0.28;0.0;0.5
43.13093;131.895718;78.1;0.03;-0.53;0.1;-0.9
43.131118;131.895788;79.3;0.06;0.34;0.24;0.7
43.131309;131.895863;80.4;0.03;0.3;0.21;0.9
43.131501;131.895942;81.0;-0.01;0.19;0.06;0.7
43.131695;131.896022;79.6;0.06;-0.39;0.0;-1.8
43.131885;131.8961;79.7;0.01;0.03;0.01;-1.9
43.132076;131.896179;80.2;-0.01;0.14;0.01;-1.3
43.132268;131.896258;81.5;0.06;0.35;-0.01;0.8
43.132463;131.896338;82.5;0.04;0.29;-0.0;-0.9
43.132661;131.896419;82.6;-0.02;0.03;0.01;-1.6
43.132858;131.896501;80.5;0.0;-0.59;0.0;-0.6
43.133051;131.89658;81.0;-0.01;0.13;0.11;1.5
43.133245;131.89666;79.9;0.04;-0.31;0.28;0.4
43.133434;131.896744;78.8;0.03;-0.28;0.23;1.6
43.133621;131.89683;79.7;-0.03;0.23;0.06;-0.3
43.13381;131.896916;80.0;-0.02;0.1;-0.0;-0.3
43.133999;131.897003;80.4;0.05;0.11;0.01;-0.2
43.13419;131.897091;81.1;-0.03;0.18;0.0;0.1
43.134382;131.897179;81.4;0.0;0.08;-0.01;-0.1
43.134575;131.897268;81.9;-0.01;0.14;-0.01;-1.0
43.134769;131.897356;82.2;-0.0;0.09;-0.0;-0.8
43.134963;131.897446;80.6;0.03;-0.45;0.0;-1.4
43.135154;131.897533;80.9;0.02;0.11;0.0;0.5
43.135346;131.897621;79.7;0.01;-0.34;0.13;0.2
43.135535;131.897708;77.8;-0.01;-0.54;0.27;0.9
43.135718;131.897798;79.1;0.06;0.37;0.16;-0.1
43.135903;131.897891;80.2;-0.0;0.29;0.02;-1.3
43.136092;131.897985;79.5;0.04;-0.19;0.01;0.6
43.136278;131.898078;79.2;0.01;-0.08;0.01;-0.3
43.136464;131.898171;80.5;0.01;0.36;-0.0;0.3
43.136653;131.898266;78.8;-0.0;-0.48;-0.01;-0.6
43.136838;131.898358;79.3;-0.05;0.15;-0.0;-0.5
43.137024;131.898451;78.4;0.03;-0.25;0.01;0.3
43.137208;131.898543;79.2;0.03;0.23;0.02;1.2
43.137394;131.898636;80.6;0.04;0.37;0.0;-1.5
43.137583;131.898731;79.4;0.0;-0.33;-0.01;0.6
43.137769;131.898824;80.2;-0.05;0.24;0.14;1.1
43.137957;131.898918;80.5;0.05;0.08;0.27;1.0
43.138144;131.899019;82.2;0.07;0.47;0.12;-0.3
43.138336;131.899122;80.5;0.01;-0.49;-0.0;1.0
43.138523;131.899223;78.3;-0.03;-0.59;0.01;-2.0
43.138705;131.89932;76.6;0.04;-0.49;0.0;-0.8
43.138883;131.899416;77.5;-0.01;0.24;-0.0;-0.4
43.139063;131.899513;78.3;-0.02;0.23;-0.01;0.3
43.139245;131.899611;78.5;0.07;0.05;-0.01;0.2
43.139428;131.899709;79.6;-0.0;0.31;0.01;1.8
43.139613;131.899808;79.1;0.0;-0.13;0.01;-1.1
43.139797;131.899908;79.6;-0.0;0.13;-0.01;0.8
43.139982;131.900007;78.2;0.02;-0.38;-0.01;0.6
43.140164;131.900105;77.3;0.01;-0.27;0.06;1.3
43.140343;131.900201;78.4;0.03;0.32;0.18;1.0
43.140525;131.900301;79.0;0.04;0.16;0.19;2.2
43.140707;131.900406;77.5;0.04;-0.43;0.07;-1.2
43.140886;131.900508;78.7;0.05;0.35;-0.01;1.0
43.141067;131.900612;78.9;0.03;0.06;-0.0;-0.9
43.141249;131.900716;79.7;0.05;0.21;0.0;-0.1
43.141433;131.900821;77.9;0.11;-0.51;0.0;-0.1
43.141612;131.900924;79.3;0.0;0.39;-0.0;0.5
43.141795;131.901028;80.3;0.06;0.3;-0.0;-1.4
43.14198;131.901134;79.5;0.07;-0.23;-0.0;-0.9
43.142163;131.901239;78.5;0.04;-0.28;0.01;-0.2
43.142344;131.901342;77.2;0.02;-0.35;0.0;-0.4
43.142522;131.901444;74.7;0.02;-0.7;-0.01;0.3
43.142695;131.901543;75.4;-0.0;0.19;-0.01;1.2
43.142868;131.901642;76.8;0.01;0.39;0.04;0.4
43.143046;131.901743;78.6;-0.0;0.5;0.1;1.7
43.143226;131.901849;79.0;0.06;0.11;0.05;0.2
43.143408;131.901955;78.4;-0.03;-0.18;0.0;-0.8
43.143588;131.90206;77.9;0.08;-0.13;0.0;-0.4
43.143767;131.902165;76.9;-0.07;-0.28;0.0;0.4
43.143943;131.902268;78.8;0.02;0.55;-0.0;1.0
43.144124;131.902375;79.1;-0.0;0.07;-0.01;-0.2
43.144306;131.902481;80.2;0.0;0.31;0.0;-0.7
43.14449;131.902589;79.3;0.01;-0.25;-0.01;0.5
43.144673;131.902695;79.0;0.02;-0.08;-0.01;0.8
43.144854;131.902801;77.5;0.03;-0.42;0.01;0.3
43.145033;131.902905;76.3;0.01;-0.34;0.01;-1.2
43.145208;131.903008;76.7;0.05;0.11;-0.0;-1.4
43.145384;131.903111;76.4;-0.01;-0.08;-0.01;0.7
43.14556;131.903213;77.1;0.05;0.19;0.01;-0.2
43.145737;131.903317;77.4;-0.02;0.08;0.06;1.2
43.145915;131.903421;78.7;0.0;0.36;0.07;-0.1
43.146095;131.903529;76.4;-0.01;-0.63;0.03;0.3
43.14627;131.903633;78.2;0.01;0.49;-0.0;1.1
43.146449;131.90374;78.8;0.03;0.18;-0.01;-1.9
43.146629;131.903848;78.6;-0.04;-0.07;-0.0;0.1
43.146809;131.903955;79.5;-0.02;0.28;0.0;-0.0
43.146991;131.904064;78.2;-0.03;-0.36;-0.01;-0.6
43.147171;131.90417;76.3;-0.02;-0.54;-0.01;-1.5
43.147346;131.904274;77.0;0.04;0.18;0.01;-0.3
43.147522;131.904379;75.3;0.03;-0.47;0.0;-0.7
43.147694;131.904482;75.8;-0.02;0.15;-0.0;0.5
43.147868;131.904585;76.2;0.01;0.11;0.01;-0.4
43.148043;131.904689;76.9;-0.04;0.2;-0.0;0.1
43.148219;131.904794;77.1;0.01;0.04;-0.0;0.9
43.148396;131.904899;76.4;-0.01;-0.17;0.01;-0.4
43.148571;131.905004;76.7;0.06;0.07;0.04;0.9
43.148746;131.905109;75.9;0.04;-0.23;0.06;0.5
43.14892;131.905213;77.1;0.02;0.34;0.04;0.8
43.149096;131.90532;77.0;0.02;-0.03;0.0;-0.2
43.149272;131.905427;77.0;0.04;0.0;-0.01;-0.6
43.149448;131.905534;77.7;-0.01;0.2;-0.01;-1.1
43.149625;131.905641;77.0;0.01;-0.19;-0.01;-0.6
43.149801;131.905748;76.1;0.02;-0.26;-0.0;-1.1
43.149975;131.905853;76.5;-0.02;0.13;0.01;1.6
43.15015;131.905959;77.2;0.05;0.17;0.01;0.2
43.150326;131.906066;77.7;0.01;0.14;0.01;-0.1
43.150504;131.906173;78.2;0.04;0.15;0.0;-0.7
43.150682;131.906282;78.7;-0.01;0.15;-0.0;-0.0
43.150862;131.906391;79.6;0.02;0.23;-0.01;0.9
43.151044;131.906501;78.6;0.04;-0.29;-0.01;-1.1
43.151223;131.90661;78.8;0.06;0.06;-0.01;0.2
43.151403;131.906719;77.5;0.04;-0.35;0.01;0.5
43.151581;131.906826;78.1;0.08;0.15;0.03;1.3
43.151759;131.906934;78.0;0.02;-0.01;0.04;0.6
43.151937;131.907043;78.7;0.06;0.18;0.05;0.5
43.152116;131.907153;77.0;0.01;-0.46;0.01;-0.4
43.152292;131.907261;77.9;0.03;0.26;-0.01;1.5
43.152469;131.90737;77.3;0.07;-0.16;0.01;-0.6
43.152645;131.907479;78.1;0.04;0.22;0.0;1.1
43.152823;131.907588;78.4;-0.01;0.06;0.01;1.0
43.153002;131.907699;78.3;0.03;-0.03;0.01;0.2
43.15318;131.907809;78.2;-0.01;-0.0;-0.01;-0.4
43.153358;131.907919;78.8;-0.02;0.16;-0.02;0.0
43.153538;131.908029;76.9;0.01;-0.52;0.0;-1.4
43.153713;131.908137;77.8;0.03;0.23;0.01;1.0
43.153891;131.908246;78.5;-0.02;0.2;-0.0;-0.6
43.15407;131.908356;79.4;-0.01;0.25;-0.01;-1.3
43.15425;131.908468;80.4;-0.02;0.28;-0.01;0.3
43.154434;131.908581;79.1;-0.04;-0.38;-0.0;0.4
43.154614;131.908691;79.5;-0.02;0.12;0.01;0.1
43.154795;131.908803;78.0;-0.01;-0.41;-0.01;-0.8
43.154973;131.908912;78.4;0.06;0.11;0.19;0.7
43.155152;131.909022;78.5;0.01;0.03;0.38;1.8
43.155328;131.909141;79.5;0.0;0.29;0.14;0.6
43.155506;131.90926;78.1;0.06;-0.41;-0.04;0.8
43.155682;131.909377;78.8;-0.02;0.22;0.0;-0.1
43.155859;131.909495;80.0;-0.0;0.33;-0.0;0.1
43.156039;131.909615;80.3;0.02;0.08;0.0;0.7
43.156219;131.909735;78.6;-0.04;-0.49;0.0;-1.0
43.156396;131.909853;78.6;0.03;0.02;-0.0;-0.1
43.156572;131.909971;79.2;0.02;0.17;-0.0;-0.2
43.15675;131.910089;80.4;-0.0;0.33;-0.0;-0.3
43.156931;131.91021;81.2;-0.01;0.22;0.01;-0.3
43.157114;131.910331;80.1;0.01;-0.33;0.01;-0.8
43.157293;131.910451;79.9;0.05;-0.05;-0.0;0.5
43.157473;131.910571;81.2;0.05;0.36;-0.0;-0.2
43.157655;131.910692;81.9;-0.01;0.19;0.0;0.2
43.157839;131.910815;82.5;-0.01;0.17;-0.0;0.6
43.158024;131.910939;81.7;0.06;-0.21;0.05;1.0
43.158208;131.911061;81.1;0.03;-0.18;0.25;1.4
43.158389;131.911185;81.9;0.02;0.24;0.3;1.7
43.15857;131.911316;80.9;-0.01;-0.27;0.1;-0.5
43.158749;131.911444;81.4;-0.03;0.13;-0.01;0.4
43.158929;131.911574;80.4;0.02;-0.27;0.0;0.0
43.159107;131.911702;81.5;-0.01;0.29;0.01;-0.6
43.159287;131.911832;81.0;-0.01;-0.12;0.0;-0.9
43.159466;131.911961;82.5;-0.01;0.4;-0.01;0.1
43.159649;131.912092;82.6;0.1;0.04;-0.0;0.1
43.159832;131.912224;79.7;0.06;-0.8;0.0;1.6
43.160008;131.912351;80.5;0.03;0.21;-0.0;-0.3
43.160186;131.912479;80.9;0.0;0.13;0.0;0.7
43.160365;131.912608;81.9;-0.0;0.27;0.01;0.0
43.160546;131.912738;81.0;0.03;-0.23;0.0;-0.9
43.160725;131.912867;82.9;0.02;0.51;-0.0;0.1
43.160908;131.913;81.4;0.02;-0.41;-0.0;-0.8
43.161088;131.913129;82.3;0.07;0.25;-0.02;-0.8
43.16127;131.91326;81.5;0.01;-0.22;0.19;0.3
43.161451;131.913389;82.3;0.05;0.23;0.42;2.8
43.161629;131.91353;82.4;0.03;0.02;0.15;0.3
43.161808;131.913668;79.6;0.06;-0.79;-0.04;-0.4
43.161981;131.913802;80.5;-0.01;0.26;0.02;0.2
43.162156;131.913938;81.3;0.02;0.21;0.0;1.6
43.162333;131.914075;82.1;0.0;0.23;-0.01;-0.9
43.162511;131.914214;81.3;-0.03;-0.23;-0.01;-0.3
43.162688;131.914351;82.6;0.05;0.37;-0.0;-0.1
43.162867;131.91449;79.5;0.03;-0.86;0.0;-1.0
43.16304;131.914624;81.4;0.02;0.52;0.01;0.6
43.163217;131.914761;82.8;0.08;0.39;-0.0;1.5
43.163397;131.914901;81.4;0.04;-0.39;-0.02;-0.4
43.163574;131.915038;81.7;0.03;0.08;-0.0;-1.0
43.163752;131.915175;80.4;0.05;-0.35;0.01;-1.1
43.163927;131.915311;81.9;-0.03;0.42;0.01;1.0
43.164105;131.915449;81.3;0.06;-0.18;-0.01;-0.5
43.164282;131.915587;82.5;0.01;0.33;0.14;1.5
43.164461;131.915725;79.6;0.01;-0.81;0.33;2.3
43.164631;131.915866;81.0;0.03;0.4;0.22;-0.1
43.164804;131.91601;82.0;0.03;0.27;0.02;0.3
43.164979;131.916156;79.7;0.04;-0.64;-0.01;-1.8
43.165149;131.916297;80.7;0.02;0.29;0.0;0.1
43.165322;131.916441;82.3;0.01;0.42;0.01;0.5
43.165497;131.916588;82.7;0.03;0.12;-0.01;1.7
43.165674;131.916735;79.7;0.0;-0.84;-0.0;-0.8
43.165844;131.916877;80.6;0.04;0.26;0.01;-0.2
43.166016;131.91702;82.2;-0.0;0.44;0.0;0.5
43.166191;131.917167;83.0;0.05;0.21;0.0;-0.4
43.166368;131.917314;79.9;-0.06;-0.84;-0.01;-0.1
43.166539;131.917457;81.5;-0.0;0.43;-0.02;-0.0
43.166713;131.917601;82.6;-0.07;0.31;-0.0;-1.0
43.166889;131.917748;80.2;0.05;-0.66;0.01;-1.6
43.16706;131.917891;81.4;-0.01;0.35;0.0;0.4
43.167234;131.918036;82.4;-0.01;0.26;0.06;-0.1
43.16741;131.918182;79.6;-0.01;-0.76;0.19;1.3
43.167579;131.918326;81.6;0.02;0.56;0.2;0.9
43.167751;131.918477;79.6;0.03;-0.55;0.05;-0.4
43.167918;131.918624;81.4;0.05;0.49;-0.02;0.1
43.16809;131.918774;83.0;-0.03;0.44;-0.01;0.5
43.168265;131.918926;79.8;0.03;-0.89;0.01;-0.9
43.168433;131.919073;81.9;-0.02;0.59;0.01;0.7
43.168605;131.919224;79.4;0.01;-0.69;0.0;0.2
43.168773;131.919371;80.5;0.07;0.29;0.01;-0.4
43.168942;131.919519;82.4;0.0;0.53;-0.0;0.4
43.169115;131.919671;82.5;-0.05;0.03;-0.0;1.1
43.169289;131.919823;80.1;0.01;-0.68;0.0;-0.0
43.169458;131.919971;81.4;0.01;0.36;-0.01;-0.4
43.169629;131.920121;79.4;0.08;-0.54;-0.01;-1.6
43.169796;131.920267;81.0;0.04;0.44;0.0;0.3
43.169967;131.920416;81.5;0.06;0.12;0.0;0.1
43.170138;131.920567;82.1;0.05;0.18;-0.03;-0.2
43.170311;131.920718;79.8;-0.01;-0.63;0.1;0.0
43.17048;131.920864;81.2;0.06;0.39;0.29;2.2
43.170648;131.921019;82.8;0.09;0.44;0.13;0.4
43.170821;131.921176;79.8;0.05;-0.83;-0.0;-0.7
43.170986;131.921328;81.0;0.0;0.34;0.02;0.2
43.171154;131.921483;82.7;0.05;0.46;-0.01;-0.3
43.171326;131.921641;80.0;-0.06;-0.76;-0.02;-1.1
43.171492;131.921793;81.6;0.03;0.45;-0.0;-1.1
43.171662;131.921948;82.5;0.02;0.25;0.01;0.6
43.171833;131.922105;79.8;0.08;-0.75;-0.0;-0.3
43.171999;131.922257;80.9;0.01;0.32;-0.0;0.1
43.172167;131.922411;82.8;0.05;0.52;0.0;0.2
43.172338;131.922568;79.8;0.01;-0.83;-0.01;0.7
43.172504;131.92272;80.5;0.03;0.2;-0.0;-0.1
43.172671;131.922873;81.9;0.02;0.39;0.0;0.3
43.172842;131.923029;79.5;0.04;-0.66;-0.0;-0.8
43.173007;131.92318;80.8;-0.06;0.35;0.01;0.2
43.173175;131.923334;81.7;0.02;0.26;-0.02;0.5
43.173344;131.92349;79.8;0.02;-0.55;0.11;1.1
43.17351;131.923641;80.6;0.01;0.24;0.28;2.6
43.173675;131.9238;82.4;0.04;0.49;0.12;-0.4
43.173844;131.923962;79.7;-0.0;-0.76;-0.02;-0.5
43.174007;131.924118;81.2;0.05;0.43;0.0;0.9
43.174173;131.924277;82.4;0.03;0.33;0.01;0.6
43.174342;131.924439;79.8;0.06;-0.72;0.0;-1.7
43.174505;131.924596;81.1;0.01;0.34;-0.02;1.5
43.174671;131.924755;82.2;0.05;0.32;-0.02;0.1
43.174839;131.924917;79.8;0.0;-0.66;0.0;-1.2
43.175003;131.925073;81.5;-0.03;0.47;0.01;0.7
43.17517;131.925233;82.7;-0.04;0.32;-0.0;0.2
43.175339;131.925395;79.8;-0.01;-0.8;-0.01;-1.3
43.175503;131.925552;80.8;0.03;0.28;-0.0;-1.1
43.175668;131.92571;82.1;-0.0;0.36;0.01;-0.8
43.175837;131.925871;82.7;0.03;0.16;0.02;0.4
43.176006;131.926033;79.8;0.02;-0.81;0.01;-0.9
43.176169;131.92619;81.0;0.01;0.34;-0.02;-0.4
43.176335;131.926349;82.3;0.08;0.36;0.1;1.4
43.176504;131.92651;82.9;-0.01;0.18;0.27;3.2
43.176671;131.926678;79.5;-0.05;-0.96;0.11;1.8
43.176831;131.926838;80.6;0.03;0.31;-0.02;-0.3
43.176994;131.927001;81.5;-0.03;0.26;-0.01;0.2
43.177158;131.927166;82.7;-0.0;0.34;0.0;-0.4
43.177325;131.927332;80.2;-0.03;-0.69;0.01;-0.7
43.177487;131.927494;81.1;0.0;0.23;0.0;0.6
43.177651;131.927658;82.0;0.02;0.26;-0.0;-1.1
43.177816;131.927824;82.8;-0.03;0.23;-0.0;1.1
43.177984;131.927991;79.7;-0.03;-0.88;-0.01;-0.0
43.178144;131.928152;80.2;0.03;0.15;-0.01;0.1
43.178307;131.928313;81.1;0.01;0.26;0.01;-0.1
43.17847;131.928477;81.9;0.05;0.2;0.01;-0.3
43.178636;131.928642;82.5;0.03;0.18;0.0;0.2
43.178802;131.928809;80.7;0.02;-0.5;-0.0;-0.3
43.178965;131.928971;81.4;0.0;0.21;-0.0;-0.7
43.179129;131.929136;81.6;0.04;0.04;-0.01;-0.4
43.179294;131.9293;79.7;0.06;-0.53;0.04;-0.7
43.179455;131.929461;79.7;0.01;0.02;0.1;-0.3
43.179615;131.929623;81.3;0.04;0.43;0.07;-0.2
43.179778;131.92979;81.8;0.01;0.14;0.02;0.5
43.179942;131.929957;82.4;-0.01;0.17;0.0;0.4
43.180107;131.930125;81.2;0.05;-0.33;-0.01;-1.5
43.18027;131.930291;82.2;0.03;0.28;0.01;-1.2
43.180434;131.930459;81.1;0.02;-0.3;0.01;-1.1
43.180597;131.930625;81.3;0.06;0.05;0.0;0.2
43.180759;131.930792;81.8;0.03;0.16;-0.01;-1.2
43.180923;131.930959;81.0;0.05;-0.23;-0.01;-1.1
43.181086;131.931125;79.6;0.06;-0.41;0.0;-1.1
43.181245;131.931288;79.7;0.02;0.04;0.01;-0.9
43.181405;131.931451;80.4;0.02;0.21;0.01;-0.3
43.181566;131.931615;81.8;0.02;0.38;0.0;1.6
43.18173;131.931783;80.2;0.02;-0.45;-0.01;-1.8
43.181891;131.931947;82.0;0.06;0.49;-0.01;0.6
43.182055;131.932115;80.8;0.05;-0.32;0.0;-1.1
43.182217;131.93228;81.1;0.07;0.08;0.01;-0.1
43.18238;131.932446;79.5;0.03;-0.45;0.06;-0.1
43.182539;131.932609;80.6;0.02;0.31;0.1;0.5
43.182699;131.932776;79.9;0.01;-0.18;0.04;-0.0
43.182858;131.932941;78.5;-0.01;-0.39;-0.0;-0.0
43.183014;131.933104;78.6;-0.01;0.03;-0.01;-1.6
43.183171;131.933267;79.3;-0.02;0.19;0.0;0.6
43.183328;131.933431;77.3;0.04;-0.56;0.02;-0.6
43.183482;131.933591;78.7;-0.01;0.4;0.0;0.6
43.183639;131.933754;79.1;-0.01;0.13;-0.01;0.5
43.183796;131.933918;78.6;0.01;-0.15;-0.0;-0.7
43.183953;131.934081;77.6;-0.02;-0.28;0.01;-0.9
43.184107;131.934241;78.7;0.04;0.3;-0.0;0.7
43.184263;131.934404;78.4;-0.06;-0.08;0.01;0.6
43.18442;131.934567;77.6;0.01;-0.22;0.02;-0.8
43.184574;131.934728;78.5;-0.02;0.24;0.0;-0.3
43.18473;131.934891;78.5;0.03;0.02;-0.01;-0.3
43.184886;131.935054;77.0;-0.02;-0.42;-0.0;1.1
43.185039;131.935213;76.5;-0.04;-0.16;-0.01;-0.6
43.185191;131.935372;76.0;0.03;-0.12;-0.01;1.1
43.185343;131.935529;77.3;0.02;0.35;0.07;0.6
43.185497;131.935689;76.3;0.04;-0.28;0.12;0.3
43.185647;131.93585;76.2;0.05;-0.02;0.03;-0.4
43.185797;131.93601;76.0;-0.02;-0.06;-0.02;-0.2
43.185948;131.936169;76.6;-0.01;0.16;0.01;-0.3
43.186099;131.93633;76.7;0.04;0.03;0.01;0.9
43.18625;131.936491;74.9;-0.0;-0.5;0.0;0.1
43.186398;131.936648;75.7;0.0;0.22;0.0;1.0
43.186548;131.936806;76.2;0.03;0.14;0.01;-0.2
43.186698;131.936966;75.1;0.02;-0.29;-0.0;-0.6
43.186846;131.937124;74.0;0.01;-0.31;-0.01;0.4
43.186993;131.937279;75.2;0.01;0.32;-0.0;0.2
43.187141;131.937437;75.7;0.04;0.15;-0.0;0.3
43.187291;131.937596;74.2;0.03;-0.42;-0.01;0.1
43.187437;131.937751;75.1;0.07;0.24;0.01;-0.3
43.187586;131.937909;75.3;0.02;0.06;0.01;-0.6
43.187734;131.938067;74.6;-0.02;-0.2;0.0;-1.2
43.187881;131.938223;72.9;0.04;-0.47;-0.0;1.1
43.188025;131.938376;73.8;0.04;0.26;-0.0;-1.3
43.188171;131.938531;75.1;0.0;0.37;-0.01;0.4
43.188319;131.938689;73.5;0.01;-0.46;0.04;-0.0
43.188465;131.938843;71.8;0.05;-0.48;0.1;-0.4
43.188605;131.938995;72.8;0.08;0.28;0.05;0.3
43.188748;131.93915;73.2;0.05;0.11;0.0;1.4
43.188891;131.939305;71.6;0.01;-0.43;0.0;0.2
43.189032;131.939457;70.1;-0.0;-0.42;-0.01;-1.0
43.189169;131.939606;71.2;0.04;0.29;0.01;0.2
43.189309;131.939757;72.3;0.02;0.32;0.01;1.3
43.189451;131.939911;71.4;0.06;-0.25;-0.0;1.5
43.189591;131.940062;72.3;0.03;0.24;0.0;0.7
43.189732;131.940216;71.0;0.0;-0.34;-0.0;-0.8
43.189871;131.940367;70.9;-0.01;-0.05;0.0;-0.9
43.19001;131.940517;71.8;0.02;0.24;0.01;-0.8
43.190151;131.94067;72.2;-0.01;0.13;-0.0;0.2
43.190292;131.940823;72.3;-0.02;0.02;-0.01;0.8
43.190434;131.940977;71.2;-0.0;-0.31;-0.01;-0.6
43.190574;131.941128;70.5;0.04;-0.18;-0.0;-0.2
43.190712;131.941278;71.2;0.05;0.2;-0.01;1.1
43.190852;131.941429;71.3;-0.05;0.01;0.0;1.1
43.190992;131.94158;71.2;0.05;-0.02;0.01;-0.8
43.191131;131.941731;72.2;-0.01;0.28;0.0;-0.3
43.191273;131.941885;71.5;-0.03;-0.21;0.0;-0.3
43.191413;131.942036;71.7;-0.02;0.06;-0.0;-0.3
43.191553;131.942189;71.0;-0.05;-0.19;-0.0;0.0
43.191693;131.942339;68.6;-0.03;-0.66;0.0;-0.7
43.191827;131.942485;69.4;0.0;0.22;0.01;-0.6
43.191963;131.942633;70.1;0.06;0.19;-0.0;-0.3
43.192101;131.942782;70.4;0.02;0.08;-0.0;0.2
